Cell,Mean_High,Mean_Low,Delta,p_value,n_High,n_Low,FDR
Macrophages,-0.309813823121065,0.309813823121066,-0.619627646242131,1.48955976880809e-10,134,134,2.68120758385456e-09
Monocytes,-0.251860371649167,0.251860371649168,-0.503720743298334,8.88515667282787e-09,134,134,7.99664100554509e-08
M2_Macrophages,-0.214502402765902,0.214502402765902,-0.429004805531804,3.5647140685105e-08,134,134,2.1388284411063e-07
TAM,-0.189377547379145,0.189377547379145,-0.37875509475829,3.15471505196728e-07,134,134,1.41962177338528e-06
Tregs,-0.121289980362835,0.121289980362835,-0.242579960725671,0.000114442653910417,134,134,0.000411993554077502
Neutrophils,-0.147258784169287,0.147258784169285,-0.294517568338573,0.000357948057661817,134,134,0.00107384417298545
Exhaustion_Early,-0.110303970996211,0.110303970996212,-0.220607941992422,0.0111341363619014,134,134,0.028630636359175
CD4_T,-0.098515689095577,0.098515689095576,-0.197031378191153,0.0134261690008967,134,134,0.0302088802520175
Fibroblasts,-0.0876718959777953,0.087671895977795,-0.17534379195559,0.0366856549579866,134,134,0.0673454604807697
Microglia,-0.0803177195685941,0.0803177195685915,-0.160635439137186,0.0393150886157153,134,134,0.0673454604807697
B_cells,-0.0523862775207747,0.0523862775207736,-0.104772555041548,0.0411555591826926,134,134,0.0673454604807697
Cytotoxic,-0.0463246250931705,0.0463246250931699,-0.0926492501863404,0.124925153081289,134,134,0.187387729621934
DC,-0.0514921734960922,0.0514921734960922,-0.102984346992184,0.147691390682321,134,134,0.204495771713983
CD8_T,-0.0428230080518235,0.0428230080518233,-0.0856460161036468,0.160907897733429,134,134,0.206881582800124
NK,-0.0393984248967428,0.0393984248967405,-0.0787968497934833,0.215095027085851,134,134,0.258114032503021
Endothelial,-0.0115445066729468,0.0115445066729446,-0.0230890133458913,0.404834263480523,134,134,0.455438546415588
cDC1,-0.0264682218556453,0.0264682218556456,-0.0529364437112908,0.530962686747917,134,134,0.562195785968383
Exhaustion_Terminal,-0.00973068510374004,0.00973068510374107,-0.0194613702074811,0.884080894329358,134,134,0.884080894329358
