Gene,CellType,ImmuneFunction,Description,Rho,P,N,FDR,Significant
CD163,Macrophage,Immunosuppressive,M2 macrophage,-0.38592246476905645,6.008155335100512e-11,268,1.712324270503646e-9,TRUE
MRC1,Macrophage,Immunosuppressive,CD206 (M2),-0.38836447673942437,4.442774513162367e-11,268,1.712324270503646e-9,TRUE
IL10,TAM,Immunosuppressive,IL-10,-0.35840158399631095,1.5244310655142923e-9,268,2.8964190244771553e-8,TRUE
IL2RA,Treg,Immunosuppressive,CD25,-0.3440173710946254,7.340164191057724e-9,268,1.0459733972257258e-7,TRUE
PDCD1LG2,Checkpoint,Immunosuppressive,PD-L2,-0.33426618330559105,2.0378907249815166e-8,268,2.323195426478929e-7,TRUE
LAG3,Exhausted-T,Dysfunctional,LAG3,0.32969248520050004,3.250442458642551e-8,268,2.6467888591803627e-7,TRUE
FOXP3,Treg,Immunosuppressive,Treg master TF,0.3301486742259582,3.1036126141062704e-8,268,2.6467888591803627e-7,TRUE
HAVCR2,Exhausted-T,Dysfunctional,TIM-3,-0.3203070986165596,8.273900600591425e-8,268,5.89515417792139e-7,TRUE
TGFB1,TAM,Immunosuppressive,TGF-beta,0.3010517630510542,5.103221321225298e-7,268,3.2320401701093553e-6,TRUE
S100A9,MDSC,Immunosuppressive,M-MDSC,-0.29928025710025163,5.994293900544642e-7,268,3.4167475233104464e-6,TRUE
IL15,Cytokine,Anti-tumor,IL-15,-0.29097060023622967,1.257249871951395e-6,268,6.5148402455663195e-6,TRUE
ARG2,MDSC,Immunosuppressive,Arginase-2,-0.2849169708198244,2.1253803679708036e-6,268,1.0095556747861317e-5,TRUE
IL6,Cytokine,Pro-inflammatory,IL-6,-0.2826018413764764,2.5896583709059152e-6,268,1.135465593397209e-5,TRUE
KLRD1,NK-cell,Anti-tumor,CD94,-0.2476075617284946,4.157185189241946e-5,268,1.692568255619935e-4,TRUE
SPP1,TAM,Immunosuppressive,Osteopontin,-0.2393767007785308,7.55338291708861e-5,268,2.8702855084936714e-4,TRUE
CCL2,Chemokine,Immunosuppressive,MCP-1,-0.23672590232836055,9.11498688044307e-5,268,3.2472140761578437e-4,TRUE
IL12A,M1-Macrophage,Anti-tumor,IL-12p35,0.23112586548841982,1.3463165877643295e-4,268,4.514120323680399e-4,TRUE
ARG1,TAM,Immunosuppressive,Arginase-1,-0.2294456038415552,1.510690722944546e-4,268,4.7838539559910616e-4,TRUE
S100A8,MDSC,Immunosuppressive,M-MDSC,-0.22694064069292505,1.7909356407976005e-4,268,5.372806922392801e-4,TRUE
CD14,MDSC,Immunosuppressive,Monocytic MDSC,-0.21590603754898968,3.707226767051254e-4,268,0.0010062472653424833,TRUE
TIGIT,Exhausted-T,Dysfunctional,TIGIT,-0.21643299941166688,3.5835423379122576e-4,268,0.0010062472653424833,TRUE
CD274,Checkpoint,Immunosuppressive,PD-L1,-0.19313363919565485,0.0014884869413119256,268,0.0038565343479445343,TRUE
NOS2,M1-Macrophage,Pro-inflammatory,iNOS (M1),0.17658108095484862,0.003730820109239176,268,0.008860697759443044,TRUE
HLA-DRA,MHC-II,Anti-tumor,MHC class II,-0.17735287975101766,0.0035803459971180908,268,0.008860697759443044,TRUE
PDCD1,Exhausted-T,Dysfunctional,PD-1,-0.16707467208256588,0.006113286527142034,268,0.013938293281883837,TRUE
FCER1A,DC,Anti-tumor,cDC2,-0.16599164539651382,0.006457100802071243,268,0.014155951758386957,TRUE
TOX,Exhausted-T,Dysfunctional,TOX TF,0.15989828213966764,0.008733705895050148,268,0.01843782355621698,TRUE
PRF1,Cytotoxic,Anti-tumor,Perforin,-0.14931630637435855,0.014416309331646731,268,0.02884140153820948,TRUE
CD276,Checkpoint,Immunosuppressive,B7-H3,0.14893098385655368,0.014673695519439912,268,0.02884140153820948,TRUE
