Gene,Detection_Rate,Mean_Expression,Median_Expression
A1BG,1,5.50223990484818,5.83466065790173
A1BG-AS1,1,2.0732066039812,2.17951105027151
A2M,1,7.09070915824338,7.07081863753328
A2M-AS1,0.987341772151899,0.44093714350333,0.321928094887362
A2ML1,0.983122362869198,0.842593002348647,0.622930350920177
A2MP1,0.721518987341772,0.131021335898053,0.0840642647884746
A3GALT2,0.814345991561181,0.355804450767959,0.22650852980868
A4GALT,1,2.01637218675879,1.96347412397489
AAAS,1,5.13104888656744,5.32337006906127
AACS,1,3.29023791136944,3.28835856219366
AACSP1,0.607594936708861,0.0816075164257435,0.0426443374084937
AADAT,1,2.53593102525731,2.75915583380027
AAED1,1,2.19032367469821,2.36737106564853
AAGAB,1,3.54486777859881,3.58856473740135
AAK1,1,2.05044287932597,1.6959938131099
AAMDC,1,5.35673091920874,5.81480674309309
AAMP,1,6.32453785640513,6.44741389204674
AANAT,0.928270042194093,0.550531480843278,0.454175893185802
AAR2,1,3.74332167444651,4.01167453338092
AARD,0.654008438818566,0.174815474295456,0.0426443374084937
AARS,1,5.88982397872604,6.04919510562228
AARS2,1,2.46436400179575,2.50589092972996
AARSD1,1,5.30584929809537,5.46303385531749
AASDH,1,2.01309107482567,2.02502879449152
AASDHPPT,1,3.51106767872268,3.854993016757
AASS,1,2.84484104649767,2.71589337054761
AATF,1,5.10231622723875,5.08236196955747
AATK,1,4.16019698544197,4.11852584893567
AATK-AS1,0.641350210970464,0.0941541694014335,0.0426443374084937
ABAT,1,4.77815025439152,4.9429835981871
ABC7-42389800N19.1,1,4.01081781312185,4.19455988602261
ABCA1,1,3.02765840772192,3.0232553523003
ABCA10,0.974683544303798,0.703200043437106,0.622930350920177
ABCA11P,1,1.86903727360838,2
ABCA12,0.881856540084388,0.079550577457678,0.0426443374084937
ABCA13,0.962025316455696,0.570132043501091,0.238786859587117
ABCA17P,1,1.4103625927914,1.41142624572647
ABCA2,1,6.69144126282789,6.89905475619441
ABCA3,1,4.55647579128058,4.80632405739003
ABCA4,0.974683544303798,0.346308748740294,0.263034405833794
ABCA5,1,2.22763678560733,2.28983446517751
ABCA6,0.991561181434599,0.693834860887373,0.53605290024021
ABCA7,1,3.37546820329145,3.38266725274504
ABCA8,1,2.34139810756249,2.23266075679028
ABCA9,0.9957805907173,0.538593419954282,0.400537929583729
ABCB1,1,2.60128784904603,2.86591881455221
ABCB10,1,2.0040001109271,2.05311133645956
ABCB4,1,1.19535820913451,1.05658352836637
ABCB6,1,4.87095573316644,4.99548451887751
ABCB7,1,2.8596155553566,3.02147972741045
ABCB8,1,4.5535320671188,4.59931779369823
ABCB9,1,2.62332766165061,2.53356334821451
ABCC1,1,2.56235518101066,2.55336050333533
ABCC10,1,3.51990818809355,3.63226821549951
ABCC11,0.983122362869198,0.323003992999293,0.263034405833794
ABCC12,0.704641350210971,0.208796213921725,0.0426443374084937
ABCC2,0.983122362869198,0.155399420101159,0.111031312388744
ABCC3,1,3.15414061193526,3.16510798514454
ABCC4,1,1.41310567836153,1.39506279951758
ABCC5,1,4.07749719036798,4.34624777408278
ABCC6,1,1.10407255410083,1.0703893278914
ABCC6P1,0.966244725738397,1.03003813545251,0.970853654340484
ABCC6P2,0.890295358649789,0.962912114551565,0.839959587489532
ABCC8,0.987341772151899,3.21586406098959,3.09929520433778
ABCC9,1,1.06859691588707,0.963474123974886
ABCD1,1,3.21597906340553,3.34908214639109
ABCD2,1,0.896653593928056,0.739848102699328
ABCD3,1,3.66343886273492,3.73335434061383
ABCD4,1,5.23033749557167,5.4591036961354
ABCE1,1,3.33657305290608,3.47508488294878
ABCF1,1,4.71338850246618,5.02369891726641
ABCF2,1,4.18169623857227,4.28540221886225
ABCF3,1,5.51663839620807,5.76606505147495
ABCG1,1,2.9762546427196,2.94860084749336
ABCG2,1,2.50513963735522,2.57046293102604
ABCG4,1,0.874239584765686,0.584962500721156
ABCG5,0.860759493670886,0.101469228255522,0.070389327891398
ABCG8,0.438818565400844,0.0346619503949977,0
ABHD1,0.983122362869198,1.34692230799857,1.22032995487956
ABHD10,1,3.56624712204429,3.88947354253111
ABHD11,1,4.32210888356724,4.57591736111815
ABHD12,1,5.79069807933513,6.08151006812092
ABHD12B,0.953586497890295,1.24495882838744,0.985500430304885
ABHD13,1,1.56442562458662,1.62293035092018
ABHD14A,1,4.54874698060506,4.78293270482084
ABHD14A-ACY1,0.970464135021097,0.722288652823184,0.704871964456353
ABHD14B,1,3.83775670113297,4.06781078378962
ABHD15,1,2.05955292847289,2.09423606984577
ABHD16A,1,5.02250203636393,5.29462074889163
ABHD16B,1,2.77974143959646,2.92219784839637
ABHD17A,1,7.2751672280426,7.60310702966491
ABHD17AP2,0.9957805907173,0.554962398972268,0.485426827170242
ABHD17AP3,0.767932489451477,0.109543422998493,0.0565835283663675
ABHD17AP6,0.489451476793249,0.165025558775197,0
