Sample,Library_Size,Genes_Detected,MT_Fraction,Dataset,Low_Library,Low_Genes,High_MT,QC_Pass
CGGA_1017,58792.971540408,22847,0.00358478620784038,CGGA-GBM,TRUE,FALSE,FALSE,FALSE
CGGA_1036,60766.2560181535,22619,0.00293738541162577,CGGA-GBM,TRUE,FALSE,FALSE,FALSE
CGGA_1041,61602.7813612684,22933,0.00328068318535265,CGGA-GBM,TRUE,FALSE,FALSE,FALSE
CGGA_1075,64170.4541159078,22706,0.00304595328025429,CGGA-GBM,TRUE,FALSE,FALSE,FALSE
CGGA_1086,31505.0541899597,19823,0.00206721401020645,CGGA-GBM,TRUE,FALSE,FALSE,FALSE
CGGA_1103,59559.3274796621,22604,0.00225054735289028,CGGA-GBM,TRUE,FALSE,FALSE,FALSE
CGGA_1106,62264.1597280706,22890,0.00278880755358147,CGGA-GBM,TRUE,FALSE,FALSE,FALSE
CGGA_1130,60639.3567894326,22591,0.0030994343434412,CGGA-GBM,TRUE,FALSE,FALSE,FALSE
CGGA_1134,61037.141976384,22940,0.00300641576872391,CGGA-GBM,TRUE,FALSE,FALSE,FALSE
CGGA_1135,60503.5944261193,22553,0.0026847893937169,CGGA-GBM,TRUE,FALSE,FALSE,FALSE
CGGA_1138,65801.64403451,23133,0.00278098420269486,CGGA-GBM,TRUE,FALSE,FALSE,FALSE
CGGA_1142,61378.2436365565,22260,0.00289409837272141,CGGA-GBM,TRUE,FALSE,FALSE,FALSE
CGGA_1164,60343.5244566675,22707,0.00326949876271537,CGGA-GBM,TRUE,FALSE,FALSE,FALSE
CGGA_1172,61745.3219185002,22925,0.00318265026863825,CGGA-GBM,TRUE,FALSE,FALSE,FALSE
CGGA_120,58143.268554383,22496,0.00331923734160228,CGGA-GBM,TRUE,FALSE,FALSE,FALSE
CGGA_1208,61104.4168102026,22806,0.0028766957073319,CGGA-GBM,TRUE,FALSE,FALSE,FALSE
CGGA_1236,56926.7236148222,22915,0.00372212171105209,CGGA-GBM,TRUE,FALSE,FALSE,FALSE
CGGA_1248,60510.3885909721,23528,0.0025944583816651,CGGA-GBM,TRUE,FALSE,FALSE,FALSE
CGGA_1255,58187.2396656389,22021,0.00294968035404832,CGGA-GBM,TRUE,FALSE,FALSE,FALSE
