Gene,TCGA_Present,CGGA_Present,Is_Target
TSPAN6,TRUE,TRUE,FALSE
TNMD,TRUE,TRUE,FALSE
DPM1,TRUE,TRUE,FALSE
SCYL3,TRUE,TRUE,FALSE
FGR,TRUE,TRUE,FALSE
CFH,TRUE,TRUE,FALSE
FUCA2,TRUE,TRUE,FALSE
GCLC,TRUE,TRUE,FALSE
NFYA,TRUE,TRUE,FALSE
STPG1,TRUE,TRUE,FALSE
NIPAL3,TRUE,TRUE,FALSE
LAS1L,TRUE,TRUE,FALSE
ENPP4,TRUE,TRUE,FALSE
SEMA3F,TRUE,TRUE,FALSE
CFTR,TRUE,TRUE,FALSE
ANKIB1,TRUE,TRUE,FALSE
CYP51A1,TRUE,TRUE,FALSE
KRIT1,TRUE,TRUE,FALSE
RAD52,TRUE,TRUE,FALSE
BAD,TRUE,TRUE,FALSE
LAP3,TRUE,TRUE,FALSE
CD99,TRUE,TRUE,FALSE
HS3ST1,TRUE,TRUE,FALSE
AOC1,TRUE,TRUE,FALSE
WNT16,TRUE,TRUE,FALSE
HECW1,TRUE,TRUE,FALSE
MAD1L1,TRUE,TRUE,FALSE
LASP1,TRUE,TRUE,FALSE
SNX11,TRUE,TRUE,FALSE
TMEM176A,TRUE,TRUE,FALSE
M6PR,TRUE,TRUE,FALSE
KLHL13,TRUE,TRUE,FALSE
CYP26B1,TRUE,TRUE,FALSE
ICA1,TRUE,TRUE,FALSE
DBNDD1,TRUE,TRUE,FALSE
ALS2,TRUE,TRUE,FALSE
CASP10,TRUE,TRUE,FALSE
CFLAR,TRUE,TRUE,FALSE
TFPI,TRUE,TRUE,FALSE
NDUFAF7,TRUE,TRUE,FALSE
RBM5,TRUE,TRUE,FALSE
MTMR7,TRUE,TRUE,FALSE
SLC7A2,TRUE,TRUE,FALSE
ARF5,TRUE,TRUE,FALSE
SARM1,TRUE,TRUE,FALSE
POLDIP2,TRUE,TRUE,FALSE
PLXND1,TRUE,TRUE,FALSE
AK2,TRUE,TRUE,FALSE
CD38,TRUE,TRUE,FALSE
FKBP4,TRUE,TRUE,FALSE
KDM1A,TRUE,TRUE,FALSE
RBM6,TRUE,TRUE,FALSE
CAMKK1,TRUE,TRUE,FALSE
RECQL,TRUE,TRUE,FALSE
HSPB6,TRUE,TRUE,FALSE
ARHGAP33,TRUE,TRUE,FALSE
NDUFAB1,TRUE,TRUE,FALSE
PDK4,TRUE,TRUE,FALSE
SLC22A16,TRUE,TRUE,FALSE
ZMYND10,TRUE,TRUE,FALSE
ARX,TRUE,TRUE,FALSE
SLC25A13,TRUE,TRUE,FALSE
ST7,TRUE,TRUE,FALSE
CDC27,TRUE,TRUE,FALSE
SLC4A1,TRUE,TRUE,FALSE
CALCR,TRUE,TRUE,FALSE
HCCS,TRUE,TRUE,FALSE
DVL2,TRUE,TRUE,FALSE
UPF1,TRUE,TRUE,FALSE
SKAP2,TRUE,TRUE,FALSE
SLC25A5,TRUE,TRUE,FALSE
HOXA11,TRUE,TRUE,FALSE
POLR2J,TRUE,TRUE,FALSE
DHX33,TRUE,TRUE,FALSE
MEOX1,TRUE,TRUE,FALSE
THSD7A,TRUE,TRUE,FALSE
LIG3,TRUE,TRUE,FALSE
RPAP3,TRUE,TRUE,FALSE
ACSM3,TRUE,TRUE,FALSE
CIAPIN1,TRUE,TRUE,FALSE
SPPL2B,TRUE,TRUE,FALSE
FAM214B,TRUE,TRUE,FALSE
COPZ2,TRUE,TRUE,FALSE
PRKAR2B,TRUE,TRUE,FALSE
MSL3,TRUE,TRUE,FALSE
CREBBP,TRUE,TRUE,FALSE
MPO,TRUE,TRUE,FALSE
PON1,TRUE,TRUE,FALSE
GCFC2,TRUE,TRUE,FALSE
WDR54,TRUE,TRUE,FALSE
CROT,TRUE,TRUE,FALSE
ABCB4,TRUE,TRUE,FALSE
KMT2E,TRUE,TRUE,FALSE
RHBDD2,TRUE,TRUE,FALSE
SOX8,TRUE,TRUE,FALSE
IBTK,TRUE,TRUE,FALSE
ZNF195,TRUE,TRUE,FALSE
MYCBP2,TRUE,TRUE,FALSE
FBXL3,TRUE,TRUE,FALSE
ITGAL,TRUE,TRUE,FALSE
PDK2,TRUE,TRUE,FALSE
ITGA3,TRUE,TRUE,FALSE
ZFX,TRUE,TRUE,FALSE
LAMP2,TRUE,TRUE,FALSE
ITGA2B,TRUE,TRUE,FALSE
ASB4,TRUE,TRUE,FALSE
GDE1,TRUE,TRUE,FALSE
CRLF1,TRUE,TRUE,FALSE
OSBPL7,TRUE,TRUE,FALSE
TMEM98,TRUE,TRUE,FALSE
YBX2,TRUE,TRUE,FALSE
MAP3K14,TRUE,TRUE,FALSE
ABCC8,TRUE,TRUE,FALSE
CACNG3,TRUE,TRUE,FALSE
