Gene,Detection_Rate,Mean_Expression,Median_Expression
TSPAN6,1,4.19213199301763,4.20070817325577
TNMD,0.977611940298507,0.452428418788455,0.212942802444716
DPM1,1,4.49706656832409,4.47952382590811
SCYL3,1,1.67085771163981,1.61006182975365
FGR,1,2.30742371259145,2.31982020682524
CFH,1,2.52736424540631,2.37458559957788
FUCA2,1,3.89740407435624,3.96152541371221
GCLC,1,2.52181703923906,2.53394797465969
NFYA,1,2.93771031832484,2.90588693456919
STPG1,1,0.793793744288479,0.711041505908706
NIPAL3,1,2.58087753556072,2.54835030275711
LAS1L,1,2.23906300919591,2.20132962086064
ENPP4,1,2.42232571269505,2.44825773222631
SEMA3F,1,1.79852493181519,1.86227060604418
CFTR,1,0.250887313826078,0.181738647073012
ANKIB1,1,4.44117487451205,4.44991601706819
CYP51A1,1,1.58183479642021,1.46806133471551
KRIT1,1,1.31761428664823,1.28195977762182
RAD52,1,2.30281847421395,2.1948057287638
MYH16,0.985074626865672,0.206866772401955,0.0842683266811772
BAD,1,3.60495747756713,3.54889839958896
LAP3,1,5.50124656040955,5.52183107560407
CD99,1,6.47570421168835,6.63557331522795
HS3ST1,1,1.79239757388677,1.83583980486664
AOC1,0.977611940298507,0.196357137390763,0.10614727815805
WNT16,0.996268656716418,0.663672918299047,0.366028329671731
HECW1,1,0.557391414977808,0.32905922167414
MAD1L1,0.996268656716418,0.310130915002262,0.158853051397186
LASP1,1,4.4954552035552,4.51562362429676
SNX11,1,3.32425898260533,3.28123343864224
TMEM176A,1,3.74130552937688,3.77499353496343
M6PR,1,4.36347576821541,4.33577612113721
KLHL13,1,2.26778282903254,2.22351351100761
CYP26B1,1,0.867660265631698,0.697100640412548
ICA1,1,1.78073992939003,1.73665677214288
DBNDD1,1,2.87758941742433,2.91662900253062
ALS2,1,2.55177922721541,2.48764036392163
CASP10,1,1.29505772357055,1.26677943904775
CFLAR,1,2.20149633749949,2.11044007958108
TFPI,1,1.92957853626494,1.907783851523
NDUFAF7,1,2.32472722717664,2.31921205180485
RBM5,1,3.33641046947539,3.3292239758996
MTMR7,1,0.693699408745239,0.539779190845187
SLC7A2,1,1.86015901714661,1.765067586253
ARF5,1,5.91490852853183,5.93897349971397
SARM1,1,1.33507654590301,1.35317907409587
POLDIP2,1,5.57051377891713,5.60476170679809
PLXND1,1,4.08349096884513,4.07122518883226
AK2,1,4.01949173533223,3.96925257842188
CD38,1,1.95347223905649,1.82217118554703
FKBP4,1,4.05388757384175,4.05893895620657
KDM1A,1,4.60155113591129,4.56804419889087
RBM6,1,3.6639183563913,3.64775076737557
CAMKK1,1,1.57720695156042,1.46704295988794
RECQL,1,3.03774041897103,3.07323517882149
VPS50,1,2.42791191245852,2.38549925021505
HSPB6,1,2.25872970736919,2.17655419844234
ARHGAP33,1,2.94663987153444,2.86213273604782
NDUFAB1,1,5.23640798905228,5.16518584983157
PDK4,1,2.92301907340509,2.85680449770896
SLC22A16,0.899253731343284,0.0768030323507001,0.0406118854214662
ZMYND10,1,1.88274794540999,1.49679377192744
ARX,0.996268656716418,1.21876698952401,0.965322548367255
SLC25A13,1,3.59072555928835,3.58632640125687
ST7,1,2.51571641099665,2.49845493848562
CDC27,1,3.43254449062386,3.37865032766001
SLC4A1,0.966417910447761,0.140545823394584,0.069495939672801
CALCR,0.962686567164179,0.101197800634923,0.0610848791777133
HCCS,1,3.18118485685916,3.20212511969008
DVL2,1,3.41569806170041,3.41914916553331
UPF1,1,3.98496417499124,4.00618646450526
SKAP2,1,3.25265881655036,3.31535594232768
SLC25A5,1,6.92738360925011,6.98926732524955
MCUB,1,3.39899224929932,3.48954933385283
HOXA11,0.955223880597015,0.59392708874707,0.378565649732928
POLR2J,1,5.46871898026373,5.57141634256965
DHX33,1,2.86839204147442,2.89191450327308
MEOX1,0.847014925373134,0.162118627442887,0.0494913432244724
THSD7A,1,2.05596904310378,1.91429420695847
LIG3,1,2.07623756325854,1.98900754921176
RPAP3,1,2.53663396030847,2.56408525527327
ACSM3,0.996268656716418,0.15807871429829,0.129084930921474
