Sample,Library_Size,Genes_Detected,MT_Fraction,Dataset,Low_Library,Low_Genes,High_MT,QC_Pass
TCGA-02-0003-01A-01R-A96R-41,44578.8120671012,21852,0,TCGA-GBM,TRUE,FALSE,FALSE,FALSE
TCGA-02-0016-01A-01R-A96R-41,46108.9249527861,22433,0,TCGA-GBM,TRUE,FALSE,FALSE,FALSE
TCGA-02-0026-01B-01R-A96R-41,50013.0209796529,22642,0,TCGA-GBM,TRUE,FALSE,FALSE,FALSE
TCGA-02-0033-01A-01R-A96R-41,41863.9666941038,21670,0,TCGA-GBM,TRUE,FALSE,FALSE,FALSE
TCGA-02-0038-01A-01R-A96R-41,42888.9482136046,19184,0,TCGA-GBM,TRUE,FALSE,FALSE,FALSE
TCGA-02-0039-01A-01R-A96R-41,42060.0043619587,21942,0,TCGA-GBM,TRUE,FALSE,FALSE,FALSE
TCGA-02-0047-01A-01R-1849-01,39607.3480117543,20195,0,TCGA-GBM,TRUE,FALSE,FALSE,FALSE
TCGA-02-0055-01A-01R-1849-01,38727.3992612982,20015,0,TCGA-GBM,TRUE,FALSE,FALSE,FALSE
TCGA-02-2466-01A-01R-A96R-41,44678.051103585,21655,0,TCGA-GBM,TRUE,FALSE,FALSE,FALSE
TCGA-02-2470-01A-01R-A96R-41,43497.2469870475,19877,0,TCGA-GBM,TRUE,FALSE,FALSE,FALSE
TCGA-02-2483-01A-01R-1849-01,39675.7153581107,20009,0,TCGA-GBM,TRUE,FALSE,FALSE,FALSE
TCGA-02-2486-01A-01R-1849-01,37977.0225890898,19768,0,TCGA-GBM,TRUE,FALSE,FALSE,FALSE
TCGA-06-0125-01A-01R-1849-01,40719.775309246,20478,0,TCGA-GBM,TRUE,FALSE,FALSE,FALSE
TCGA-06-0129-01A-01R-1849-01,42305.2327528135,21005,0,TCGA-GBM,TRUE,FALSE,FALSE,FALSE
TCGA-06-0130-01A-01R-1849-01,40018.0723737866,20412,0,TCGA-GBM,TRUE,FALSE,FALSE,FALSE
TCGA-06-0132-01A-02R-1849-01,38666.4302312125,19859,0,TCGA-GBM,TRUE,FALSE,FALSE,FALSE
TCGA-06-0138-01A-02R-1849-01,39697.3716850927,20118,0,TCGA-GBM,TRUE,FALSE,FALSE,FALSE
TCGA-06-0139-01A-01R-1849-01,38392.7624388902,19013,0,TCGA-GBM,TRUE,FALSE,FALSE,FALSE
TCGA-06-0140-01A-01R-A96R-41,46794.2662233461,22147,0,TCGA-GBM,TRUE,FALSE,FALSE,FALSE
TCGA-06-0141-01A-01R-1849-01,38945.5879469046,20487,0,TCGA-GBM,TRUE,FALSE,FALSE,FALSE
TCGA-06-0145-01A-01R-A96R-41,44514.4629444622,22037,0,TCGA-GBM,TRUE,FALSE,FALSE,FALSE
TCGA-06-0152-01A-02R-A96R-41,45891.1574358787,20302,0,TCGA-GBM,TRUE,FALSE,FALSE,FALSE
TCGA-06-0154-01A-02R-A96R-41,43218.7556807279,21755,0,TCGA-GBM,TRUE,FALSE,FALSE,FALSE
TCGA-06-0155-01B-01R-A96R-41,42907.9825279162,21405,0,TCGA-GBM,TRUE,FALSE,FALSE,FALSE
TCGA-06-0156-01A-03R-1849-01,42327.2087397841,20597,0,TCGA-GBM,TRUE,FALSE,FALSE,FALSE
TCGA-06-0157-01A-01R-1849-01,39728.21236518,20280,0,TCGA-GBM,TRUE,FALSE,FALSE,FALSE
TCGA-06-0158-01A-01R-1849-01,40806.2872076013,20563,0,TCGA-GBM,TRUE,FALSE,FALSE,FALSE
TCGA-06-0162-01A-01R-A96R-41,42532.17584849,19720,0,TCGA-GBM,TRUE,FALSE,FALSE,FALSE
TCGA-06-0166-01A-01R-A96R-41,44030.6619017375,21349,0,TCGA-GBM,TRUE,FALSE,FALSE,FALSE
TCGA-06-0167-01A-01R-A96R-41,44463.4993077193,21816,0,TCGA-GBM,TRUE,FALSE,FALSE,FALSE
TCGA-06-0168-01A-01R-1849-01,40004.6530871389,18742,0,TCGA-GBM,TRUE,FALSE,FALSE,FALSE
TCGA-06-0169-01A-01R-A96R-41,46014.9672947754,21356,0,TCGA-GBM,TRUE,FALSE,FALSE,FALSE
TCGA-06-0171-01A-02R-A96R-41,45134.434178756,21112,0,TCGA-GBM,TRUE,FALSE,FALSE,FALSE
TCGA-06-0174-01A-01R-1849-01,39960.8365503399,19969,0,TCGA-GBM,TRUE,FALSE,FALSE,FALSE
TCGA-06-0176-01A-02R-A96R-41,42225.0440805555,20838,0,TCGA-GBM,TRUE,FALSE,FALSE,FALSE
TCGA-06-0178-01A-01R-1849-01,36510.1745874789,19764,0,TCGA-GBM,TRUE,FALSE,FALSE,FALSE
TCGA-06-0184-01A-01R-1849-01,38352.320628803,19893,0,TCGA-GBM,TRUE,FALSE,FALSE,FALSE
TCGA-06-0187-01A-01R-1849-01,37803.6309463227,19949,0,TCGA-GBM,TRUE,FALSE,FALSE,FALSE
TCGA-06-0190-01A-01R-1849-01,40447.5044190443,20143,0,TCGA-GBM,TRUE,FALSE,FALSE,FALSE
TCGA-06-0192-01B-01R-A96R-41,42095.4272341913,21545,0,TCGA-GBM,TRUE,FALSE,FALSE,FALSE
TCGA-06-0195-01B-01R-A96R-41,47857.971888737,21812,0,TCGA-GBM,TRUE,FALSE,FALSE,FALSE
TCGA-06-0197-01A-02R-A96R-41,42320.8930027905,20662,0,TCGA-GBM,TRUE,FALSE,FALSE,FALSE
